Program,Country,Eligibility,Duration,Deadline,Stipend/Funding,Key Docs,Link
EPFL Summer@EPFL,Switzerland,2nd year Bachelor's or above,8-12 weeks (Feb-Aug),30 Nov 2025,Fully funded,"CV, Motivation Letter, Transcripts, 2 References, Passport",summer.epfl.ch
ETH Zurich SSRF,Switzerland,Bachelor's/Master's in CS or related; 2+ years completed,8 weeks (Jul-Aug 2026),16 Dec 2025,"CHF 4,000/month + Travel + Visa","CV (Europass), Transcripts, Motivation Letter",inf.ethz.ch/studies/summer-research-fellowship
NTU Singapore Global Connect Fellowship,Singapore,Bachelor's/Master's graduating 2026/2027; STEM preferred,2 months (Feb-Mar 2026),30 Sep 2025 (Closed),"SGD 1,600/month + Airfare + Accommodation","Application Form, Transcripts, Motivation",ntu.edu.sg/global-connect-fellowship
NIG Research Internship Japan,Japan,Pre-final year UG/PG in Life Sciences; No PhD,6 weeks (Jun-Jul 2026),5 Jan 2026,Airfare + Accommodation,"CV, Motivation Letter, Transcripts, 2 Recommendations",nig.ac.jp/jimu/soken/intern
UTRIP (UTokyo),Japan,1+ year Bachelor's; Natural Sciences; Outside Japan,6 weeks (Jun-Aug 2026),7 Jan 2026,Accommodation + Meals + Japanese Course,"CV, Personal Statement, Transcripts, TOEFL/IELTS, Recommendation",s.u-tokyo.ac.jp/en/utrip
UTokyo Amgen Scholars,Japan,UG students from Asian institutions; 1+ year completed,9 weeks (Jun-Aug 2026),1 Feb 2026,"JPY 280,000 + Travel + Accommodation","CV, Statement of Purpose, Transcripts, 2 Recommendations",u-tokyo.ac.jp/en/prospective-students/amgen_program
MEXT Research Students,Japan,"Born after Apr 2, 1990; Bachelor's degree",1.5-2 years,Apr-May 2025 (for 2026),Full scholarship + Living allowance,"Application Form, Transcripts, Recommendation, Health Certificate",studyinjapan.go.jp
RIKEN CBS Summer Program,Japan,Graduate students/Postdocs,2 months (Jun-Aug 2026),Check website,Stipend + Accommodation,"CV, Research Background, Statement of Purpose",cbs.riken.jp/en/summer
RIKEN IMS Internship,Japan,Master's/PhD students or Young Postdocs,1-3 months,4 months before start,"¥3,000/day + Airfare + Accommodation","CV, Statement of Purpose, Research Background, Recommendation",ims.riken.jp/english/jobs/internship
OIST Internship Japan,Japan,Final 2 years UG/Master's,3-6 months,15 Apr 2026 (Fall); 15 Oct 2025 (Spring),"JPY 2,400/day + Airfare + Accommodation","Statement of Purpose, CV, Transcripts",oist.jp/admissions/research-internship
METI Japan Internship,Japan,18-40 years; Students/Graduates; JLPT N3/English,3-6 months,"Rolling (Apr 15, 2026)","¥3,000/day + Airfare + Accommodation","CV, Enrollment Proof, Language Certificate",internshipprogram.go.jp
CERN Summer Student Programme,Switzerland,Bachelor's/Master's; 3+ years completed; All nationalities,8-13 weeks (Jun-Aug),26 Jan 2026,93 CHF/day + Travel + Health Insurance,"CV, Transcripts, Reference Letter",careers.cern/summer
CERN Openlab Summer,Switzerland,Bachelor's/Master's; Strong computing profile; 3+ years,9 weeks (Jun-Aug 2026),26 Jan 2026,93 CHF/day + Travel + Health Insurance,"CV, Transcripts, Reference Letter",openlab.cern/summer
RISE Germany (DAAD),Germany,2nd/3rd year UG from US/UK/Ireland/Canada,10-12 weeks (May-Jul),30 Nov 2025,€992/month + Insurance + Travel,"CV, Transcripts, Recommendation",daad.de/rise/en/rise-germany
Max Planck Internship,Germany,Bachelor's/Master's/PhD in CS,12-14 weeks,1 Nov 2025 (Summer),Stipend + Housing + Airfare,"CV, Transcripts, Statement of Purpose",cis.mpg.de/internships
HZB ISSP Germany,Germany,Bachelor's/Master's; Physics/Chemistry/Engineering; 2+ years,8 weeks (Jul-Aug 2026),14 Dec 2025,"€1,900 + Accommodation assistance","CV, Enrollment Certificate, Transcripts, Reference Letter",helmholtz-berlin.de/issp
France Excellence Charpak,France,Indian citizens; Bachelor's (<23) or Master's (<30),1-2 years (Degree),Feb-Mar 2026,€860/month + Visa waiver + Health Insurance,"CV, Transcripts, SOP, Admission Letter, Passport",Campus France India
Stanford SSRP/Amgen Scholars,USA,Undergraduates; Life Sciences,8 weeks (Jun-Aug 2026),1 Feb 2026,Stipend + Housing,"CV, Statement, Transcripts, 2 Recommendations",biosciences.stanford.edu/pathways/ssrp
MIT MSRP,USA,UG at US colleges (not MIT),9 weeks (Jun-Aug 2026),20 Jan 2026,Stipend + Housing + Travel + Meals,"Application, Transcripts, Recommendations",oge.mit.edu/msrp
RIPS Los Angeles (UCLA),USA,UG or recent graduates; Math/CS background,9 weeks (Jun-Aug 2026),2 Feb 2026,Stipend + Housing + Travel,"CV, Transcripts, 2 References",ipam.ucla.edu/rips
Rockefeller SURF,USA,Sophomores/Juniors; Life/Physical Sciences,10 weeks (Jun-Aug 2026),1 Feb 2026,"$6,500 + Free Housing","Statement, Transcripts, 2 Recommendations",rockefeller.edu/education-and-training/surf
ICERM Summer@ICERM,USA,Matriculating UG; Math focus,8 weeks (Jun-Jul 2026),15 Feb 2026,Funded (limited for non-US),"Application, Transcripts",icerm.brown.edu/summerug
KAIST KAI-X Summer,South Korea,3rd/4th year UG or Master's; Natural Sciences,7 weeks (Jul-Aug),~Feb 2026,Fully funded + Accommodation,"Application Form, Essay, Transcripts, Recommendation, Enrollment Proof",kaist.ac.kr (summer internship)
ISTA Austria Scientific Internship,Austria,Bachelor's/Master's students or recent graduates,Up to 1 year (flexible),Rolling,"€1,523/month","CV, Motivation, Research Interest",ista.ac.at/internship
ISTernship Fellowship Austria,Austria,2nd year+ Bachelor's or Master's; No PhD,2-3 months (May-Sep),Early 2026,"€1,150/month + Travel + Housing assistance","CV, SOP, Transcripts, 1-2 References",phd.ista.ac.at/isternship
ITRI Taiwan Summer,Taiwan,Bachelor's/Master's/PhD from non-Taiwan universities,2-3 months (May-Sep),Rolling (Dec 2025),"NT$40,000/month + Accommodation + Insurance","Student Status Proof, Passport",itri.org.tw/internship
NSTC Taiwan IIPP,Taiwan,UG/Master's/PhD from overseas universities,28-90 days,Rolling (Sep 2025 for 2025-26),"NT$30,000/month (~NT$1,000/day)","Passport, Enrollment Proof, CV, Recommendation",iipp.tw
NUS SERIUS Singapore,Singapore,Junior/Senior UG from US/Canada partner universities,8 weeks (May-Jul 2026),22 Jan 2026,Tuition waived (Accommodation ~S$3000),University nomination required,cde.nus.edu.sg/serius
RIPS Singapore,Singapore,3rd/4th year UG; Math/Stats/CS; Asian universities or US (only US for abroad),9 weeks (May-Jul 2026),Feb 2026,Stipend + Accommodation,"CV, Transcripts, References",ims.nus.edu.sg/rips
Kyoto University Amgen Scholars,Japan,1st-3rd year UG; Science programs; Asian universities,9 weeks (Jun-Aug 2026),1 Feb 2026,"JPY 180,000 + Travel + Accommodation",Online Application via Program Portal,opir.kyoto-u.ac.jp/amgenscholars
LASR Labs London,UK,2+ years research/SWE/ML experience; AI Safety interest,13 weeks (Jan-Apr),Oct 2025 (Winter 2026 closed),"£11,000 + Food + Office + Travel",Application via website,lasrlabs.org
BlackRock Summer Internship APAC/EMEA/AMERS,Multiple,Penultimate year Bachelor's/Master's (graduating 2026-2027),8-9 weeks (Jun-Aug 2026),Rolling,Paid internship,"CV, Application Form",careers.blackrock.com
Amazon ML Summer School,India,B.Tech/M.Tech/PhD; Graduating 2026/2027; Indian institutes,3 weekends (~6 days),31 Jul 2025 (2025 edition),Free (No stipend),Registration + Aptitude Test,amazon.science/ml-summer-school
EY Techathon India,India,UG/PG students from Indian colleges; Teams 1-5,Sep 2025 - Feb 2026,19 Oct 2025 (Round 1),"Prizes ₹5,00,000 + PPI opportunities",5-slide PPT submission,ey.com/en_in/techathon-6
ASU SURI,USA,Junior/Senior UG or Master's; Engineering fields,8 weeks,TBD (2026),"$5,000 + Housing",Application via ASU portal,engineering.asu.edu/suri
